UUID,gpsLongitude,gpsLatitude
3226265E938C7D1D,77.2426793,28.5804925
D34EDAEB5B564570,77.2396756,28.5913871
0709495D1E817C9C,77.22988,28.573788
595DA699CD9937A4,77.0938443,28.6359757
7101DC0EB64C1984,77.104401,28.677505
7101DC0EB64C1984,77.2529993,28.5780567
0709495D1E817C9C,77.2855266,28.5000933
595DA699CD9937A4,77.2033256,28.5389552
7101DC0EB64C1984,77.2998298,28.6313946
0709495D1E817C9C,77.3291584,28.6438433
595DA699CD9937A4,77.367362,28.665079
7101DC0EB64C1984,77.0879366,28.6167569
0709495D1E817C9C,77.1173679,28.7174684
0709495D1E817C9C,77.118548,28.632507
7101DC0EB64C1984,77.2672066,28.558968
7101DC0EB64C1984,77.238886,28.6035132
0709495D1E817C9C,77.2295393,28.5976755
7101DC0EB64C1984,77.2295393,28.5976755
7101DC0EB64C1984,77.1804675,28.5223328
0709495D1E817C9C,77.172477,28.555727
7101DC0EB64C1984,77.385743,28.5323608
0709495D1E817C9C,77.211188,28.562157
595DA699CD9937A4,77.23035,28.52817
7101DC0EB64C1984,77.2417203,28.5342407
0709495D1E817C9C,77.119201,28.658119
595DA699CD9937A4,77.16917,28.5794
7101DC0EB64C1984,77.4059056,28.5076519
7101DC0EB64C1984,77.2459771,28.5896459
33B45C90B13731DE,77.2369668,28.5810015
33B45C90B13731DE,77.15949,28.57396
595DA699CD9937A4,77.16325,28.52658
0709495D1E817C9C,77.10671,28.42861
0709495D1E817C9C,77.3569059,28.6443728
33B45C90B13731DE,77.20297,28.55952
595DA699CD9937A4,77.2348365,28.576861
0709495D1E817C9C,77.2004216,28.5572576
33B45C90B13731DE,77.0543708,28.4309265
595DA699CD9937A4,77.3785224,28.5626469
33B45C90B13731DE,77.0569862,28.4625061
0709495D1E817C9C,77.0514338,28.597133
595DA699CD9937A4,77.2857689,28.6425768
0709495D1E817C9C,77.3078998,28.6274949
EB35F0770283A33A,77.29647,28.5945
E864778321F55A8F,77.048535,28.5813387
0709495D1E817C9C,77.06779,28.6544
EB35F0770283A33A,77.07124,28.6437
E864778321F55A8F,77.2913123,28.6678072
0709495D1E817C9C,77.1705075,28.6618827
33B45C90B13731DE,77.0924953,28.6286817
E864778321F55A8F,77.149236,28.69864
0102-678842278A72B71D1,77.1624017,28.5185223
33B45C90B13731DE,77.0905694,28.6096416
B61241EF668DBC2C,77.1548267,28.6719885
0709495D1E817C9C,77.2558187,28.5256144
33B45C90B13731DE,77.2313726,28.5680562
0709495D1E817C9C,77.31966,28.40369
0709495D1E817C9C,77.292638,28.536097
E864778321F55A8F,77.2189162,28.535765
200A7CED9D597407,77.217403,28.567893
33B45C90B13731DE,77.213091,28.561946
0709495D1E817C9C,77.089185,28.695469
33B45C90B13731DE,77.322359,28.664386
200A7CED9D597407,77.0901384,28.6744481
E864778321F55A8F,77.2769804,28.3830665
E864778321F55A8F,77.1859976,28.4918907
200A7CED9D597407,77.1583716,28.5698788
0709495D1E817C9C,77.361031,28.55227
33B45C90B13731DE,77.2128999,28.5336827
0709495D1E817C9C,77.230369,28.50883
200A7CED9D597407,77.389503,28.664411
E864778321F55A8F,77.389503,28.664411
E786F1568F65C296,77.2426793,28.5804925
E786F1568F65C296,77.2396756,28.5913871
E786F1568F65C296,77.22988,28.573788
E786F1568F65C296,77.0938443,28.6359757
E786F1568F65C296,77.104401,28.677505
E786F1568F65C296,77.2529993,28.5780567
E786F1568F65C296,77.2855266,28.5000933
E786F1568F65C296,77.2033256,28.5389552
E786F1568F65C296,77.2998298,28.6313946
E786F1568F65C296,77.3291584,28.6438433
E786F1568F65C296,77.367362,28.665079
E786F1568F65C296,77.0879366,28.6167569
E786F1568F65C296,77.1173679,28.7174684
E786F1568F65C296,77.118548,28.632507
E786F1568F65C296,77.2672066,28.558968
E786F1568F65C296,77.238886,28.6035132
E1EFA8FCA05B3FF9,77.2295393,28.5976755
E786F1568F65C296,77.2295393,28.5976755
E786F1568F65C296,77.1804675,28.5223328
E786F1568F65C296,77.172477,28.555727
E786F1568F65C296,77.385743,28.5323608
B61241EF668DBC2C,77.211188,28.562157
E1EFA8FCA05B3FF9,77.23035,28.52817
E1EFA8FCA05B3FF9,77.2417203,28.5342407
E786F1568F65C296,77.119201,28.658119
E1EFA8FCA05B3FF9,77.16917,28.5794
E1EFA8FCA05B3FF9,77.4059056,28.5076519
E786F1568F65C296,77.2459771,28.5896459
E786F1568F65C296,77.2369668,28.5810015
E1EFA8FCA05B3FF9,77.15949,28.57396
E1EFA8FCA05B3FF9,77.16325,28.52658
E1EFA8FCA05B3FF9,77.10671,28.42861
E1EFA8FCA05B3FF9,77.3569059,28.6443728
E1EFA8FCA05B3FF9,77.20297,28.55952
E1EFA8FCA05B3FF9,77.2348365,28.576861
E1EFA8FCA05B3FF9,77.2004216,28.5572576
E786F1568F65C296,77.0543708,28.4309265
E1EFA8FCA05B3FF9,77.3785224,28.5626469
E1EFA8FCA05B3FF9,77.0569862,28.4625061
E786F1568F65C296,77.0514338,28.597133
E1EFA8FCA05B3FF9,77.2857689,28.6425768
E1EFA8FCA05B3FF9,77.3078998,28.6274949
E1EFA8FCA05B3FF9,77.29647,28.5945
E1EFA8FCA05B3FF9,77.048535,28.5813387
E1EFA8FCA05B3FF9,77.06779,28.6544
E1EFA8FCA05B3FF9,77.07124,28.6437
E1EFA8FCA05B3FF9,77.2913123,28.6678072
E1EFA8FCA05B3FF9,77.1705075,28.6618827
E786F1568F65C296,77.0924953,28.6286817
E786F1568F65C296,77.149236,28.69864
E786F1568F65C296,77.1624017,28.5185223
E1EFA8FCA05B3FF9,77.0905694,28.6096416
E1EFA8FCA05B3FF9,77.1548267,28.6719885
E1EFA8FCA05B3FF9,77.2558187,28.5256144
E1EFA8FCA05B3FF9,77.2313726,28.5680562
E1EFA8FCA05B3FF9,77.31966,28.40369
B61241EF668DBC2C,77.292638,28.536097
B61241EF668DBC2C,77.2189162,28.535765
B61241EF668DBC2C,77.217403,28.567893
B61241EF668DBC2C,77.213091,28.561946
E786F1568F65C296,77.089185,28.695469
E786F1568F65C296,77.322359,28.664386
E786F1568F65C296,77.0901384,28.6744481
E786F1568F65C296,77.2769804,28.3830665
B61241EF668DBC2C,77.1859976,28.4918907
B61241EF668DBC2C,77.1583716,28.5698788
E786F1568F65C296,77.361031,28.55227
E786F1568F65C296,77.2128999,28.5336827
E786F1568F65C296,77.230369,28.50883
E786F1568F65C296,77.389503,28.664411
E786F1568F65C296,77.389503,28.664411
